Device ID,Device Type,Installation Date,Location ID,City,Region,Latitude,Longitude,Traffic Volume,Air Quality Index (AQI),Noise Level,Energy Consumption (kWh),Water Usage (liters),Temperature (°C),Humidity (%),Device Status,Maintenance Date,Power Outage Hours (per month),Incident Reports,Public WiFi Users,Connectivity Uptime (%),Smart Parking Spots,Road Quality Index,Device Manufacturer,Firmware Version,Energy Rate (per kWh),Water Rate (per liter),Operating Cost (per hour),Advertising Revenue (from WiFi),Maintenance Cost,Device Usage Hours,Date,Time,Country,Smart Parking Revenue
D0017,Smart Meter,21-05-2022,L0886,Seattle,Capitol Hill,26.091102,173.104544,1274,68,79 dB,31.35,2705,5.7,39,Under Maintenance,06-03-2023,44,4,234,95.34,34,63,GreenTech,v1.1,0.32,0.0067,28.23,0.0,307.12,393,21-05-2022,18:51:49,USA,2861.4
D0018,Public WiFi,26-10-2023,L0519,San Francisco,Mission District,67.558149,111.027593,1525,53,80 dB,11.57,2548,-0.2,40,Inactive,03-03-2023,12,3,172,93.24,41,63,UrbanTech,v1.1,0.16,0.0024,35.19,124.1,0.0,434,26-10-2023,17:08:09,USA,2443.75
D0019,Public WiFi,15-11-2023,L0195,New York,Brooklyn,-9.581241,50.942514,1926,95,67 dB,14.48,1467,33.2,63,Under Maintenance,02-01-2024,39,1,490,92.23,45,63,DeviceCorp,v1.0,0.21,0.0101,36.08,126.36,159.47,1478,15-11-2023,13:44:00,USA,1810.53
D0020,Smart Meter,16-10-2021,L0398,Seattle,Pioneer Square,-20.816346,98.885214,1279,106,63 dB,20.27,2465,20.5,82,Under Maintenance,12-02-2023,14,4,234,91.42,35,63,GreenTech,v1.0,0.33,0.0072,44.45,0.0,343.59,916,16-10-2021,21:37:43,USA,3253.34
D0021,Parking Sensor,26-11-2024,L0953,San Francisco,Financial District,8.176137,-149.415929,1896,60,64 dB,27.0,2836,15.1,41,Active,03-03-2023,7,1,234,94.5,25,63,SmartIoT,v2.1,0.25,0.001,52.54,0.0,0.0,1065,26-11-2024,15:32:55,USA,1127.72
D0022,Pollution Sensor,28-05-2022,L0883,Chicago,The Loop,-74.666758,-41.429861,1896,92,71 dB,18.61,1277,33.0,100,Inactive,03-03-2023,27,10,234,94.73,45,63,DeviceCorp,v2.1,0.23,0.0057,51.7,0.0,0.0,1055,28-05-2022,16:46:32,USA,1814.65
D0023,Public WiFi,14-11-2021,L0475,New York,Brooklyn,78.542807,134.488616,1382,57,64 dB,43.05,2507,26.0,30,Under Maintenance,19-07-2024,46,3,468,91.54,29,63,GreenTech,v2.0,0.45,0.0077,16.57,845.78,301.44,408,14-11-2021,20:41:38,USA,2148.63
D0024,Parking Sensor,28-06-2024,L0113,Seattle,Capitol Hill,-71.255165,51.817211,1178,67,76 dB,8.5,2620,7.0,81,Active,03-03-2023,35,3,234,93.21,36,63,UrbanTech,v1.2,0.3,0.0075,23.27,0.0,0.0,332,28-06-2024,02:13:21,USA,2552.31
D0025,Traffic Light,06-12-2024,L0487,Miami,South Beach,7.751853,121.429549,1705,67,60 dB,45.97,2682,22.6,34,Under Maintenance,25-04-2024,37,1,234,99.68,36,71,GreenTech,v1.2,0.45,0.0077,16.16,0.0,289.02,1398,06-12-2024,06:33:32,USA,4033.29
D0026,Traffic Light,20-07-2023,L0455,Chicago,Lincoln Park,77.969023,-24.184147,1648,98,61 dB,31.66,1304,28.2,82,Inactive,03-03-2023,44,2,234,91.1,39,13,SmartIoT,v2.0,0.12,0.0014,33.89,0.0,0.0,1358,20-07-2023,17:55:46,USA,1398.53
D0027,Pollution Sensor,04-05-2022,L0862,Miami,Brickell,68.57557,33.935994,1494,51,65 dB,13.77,2303,19.3,22,Under Maintenance,09-08-2023,21,2,234,92.08,38,63,UrbanTech,v2.1,0.12,0.0069,41.09,0.0,316.27,641,04-05-2022,00:37:55,USA,2814.05
D0028,Smart Meter,04-03-2021,L0699,Chicago,Lincoln Park,-72.725313,-50.042751,1597,77,79 dB,15.35,1413,30.7,71,Active,03-03-2023,26,10,234,96.54,33,63,SmartIoT,v1.2,0.5,0.0029,27.77,0.0,0.0,300,04-03-2021,00:49:54,USA,3165.87
D0029,Traffic Light,06-05-2024,L0965,Miami,South Beach,-38.051843,39.960393,1890,72,65 dB,49.67,1270,37.9,47,Inactive,03-03-2023,4,4,234,98.23,42,53,DeviceCorp,v1.0,0.44,0.0046,19.03,0.0,0.0,1880,06-05-2024,17:46:47,USA,709.03
D0030,Smart Meter,03-12-2024,L0303,Chicago,The Loop,24.425613,-69.852521,1469,94,79 dB,16.31,2517,23.2,90,Inactive,03-03-2023,25,2,234,97.6,29,63,DeviceCorp,v2.0,0.27,0.0063,47.67,0.0,0.0,1131,03-12-2024,09:40:15,USA,3233.95
D0031,Smart Meter,20-02-2022,L0710,Chicago,Lincoln Park,-55.616989,51.644658,1174,101,60 dB,12.44,2541,14.6,26,Inactive,03-03-2023,16,7,234,97.71,50,63,SmartIoT,v1.2,0.29,0.0058,41.26,0.0,0.0,858,20-02-2022,03:53:43,USA,1267.36
D0032,Pollution Sensor,21-11-2023,L0327,Miami,Brickell,8.73267,-52.374384,1373,89,65 dB,11.7,2680,16.2,40,Active,03-03-2023,17,7,234,94.63,36,63,GreenTech,v1.1,0.45,0.0047,47.63,0.0,0.0,1443,21-11-2023,01:21:54,USA,792.73
D0033,Parking Sensor,11-11-2023,L0764,Houston,Downtown,-38.234277,73.945421,1436,78,74 dB,38.46,1579,6.6,26,Active,03-03-2023,46,10,234,90.55,49,63,DeviceCorp,v2.0,0.38,0.0047,39.48,0.0,0.0,300,11-11-2023,19:16:53,USA,4769.98
D0034,Parking Sensor,27-09-2024,L0267,San Francisco,Financial District,-38.798672,24.696263,2019,55,78 dB,37.68,2578,-7.0,92,Active,03-03-2023,46,4,234,97.57,47,63,SmartIoT,v2.0,0.48,0.008,39.03,0.0,0.0,1186,27-09-2024,18:23:28,USA,4845.34
D0035,Pollution Sensor,15-04-2024,L0529,San Francisco,Mission District,-40.992002,-158.555726,2264,85,65 dB,31.33,2690,34.1,88,Inactive,03-03-2023,6,8,234,91.66,33,63,DeviceCorp,v1.1,0.34,0.0015,46.08,0.0,0.0,1010,15-04-2024,12:22:14,USA,4137.79
D0036,Parking Sensor,10-03-2023,L0903,New York,Manhattan,66.396352,25.878447,1363,67,75 dB,5.44,2542,9.5,79,Under Maintenance,20-08-2024,22,7,234,95.54,34,63,DeviceCorp,v1.2,0.2,0.0081,46.02,0.0,486.72,1559,10-03-2023,11:49:04,USA,1870.76
D0037,Smart Meter,27-04-2024,L0470,Houston,Midtown,-50.542149,53.437304,946,61,79 dB,7.06,1052,33.6,43,Active,03-03-2023,10,6,234,97.6,33,63,SmartIoT,v2.1,0.25,0.0035,19.56,0.0,0.0,300,27-04-2024,09:43:25,USA,939.52
D0038,Pollution Sensor,13-09-2022,L0932,Miami,South Beach,-66.341488,-52.686478,1363,65,61 dB,23.44,2868,10.3,54,Inactive,03-03-2023,3,4,234,94.22,47,63,UrbanTech,v1.1,0.45,0.0021,50.17,0.0,0.0,848,13-09-2022,02:26:17,USA,3579.05
D0039,Traffic Light,31-01-2024,L0161,Miami,South Beach,-36.666905,78.905474,1111,70,64 dB,8.52,1071,30.7,43,Inactive,03-03-2023,6,0,234,94.78,44,85,UrbanTech,v1.2,0.42,0.0055,38.74,0.0,0.0,300,31-01-2024,23:11:03,USA,2480.69
D0040,Parking Sensor,22-05-2021,L0281,San Francisco,Mission District,-7.304088,40.94643,1714,83,74 dB,15.32,2129,6.7,25,Inactive,03-03-2023,22,4,234,99.52,37,63,SmartIoT,v2.1,0.24,0.0013,42.0,0.0,0.0,1780,22-05-2021,23:54:47,USA,1049.17
D0041,Traffic Light,08-02-2024,L0615,San Francisco,Financial District,61.106857,-132.262591,1279,90,60 dB,5.47,1500,37.6,60,Under Maintenance,11-03-2023,16,7,234,98.57,33,84,GreenTech,v1.0,0.19,0.0094,32.41,0.0,254.23,1368,08-02-2024,05:50:42,USA,2728.3
D0042,Pollution Sensor,11-05-2023,L0678,Chicago,Lincoln Park,-64.361281,163.237631,1779,50,75 dB,41.85,2299,10.0,29,Under Maintenance,25-05-2023,25,3,234,98.91,44,63,UrbanTech,v1.1,0.31,0.0023,35.82,0.0,192.16,322,11-05-2023,08:24:38,USA,654.75
D0043,Public WiFi,04-03-2021,L0244,Miami,Brickell,78.482559,-93.56114,1461,70,76 dB,36.42,1801,37.5,61,Inactive,03-03-2023,48,0,367,93.21,34,63,UrbanTech,v1.1,0.45,0.0039,49.26,563.52,0.0,478,04-03-2021,09:52:19,USA,4591.94
D0044,Public WiFi,17-10-2021,L0309,New York,Brooklyn,-76.694297,-23.651896,1298,72,79 dB,3.02,1256,33.7,53,Inactive,03-03-2023,10,4,150,92.88,34,63,SmartIoT,v1.1,0.22,0.0029,44.13,837.21,0.0,300,17-10-2021,10:01:11,USA,1664.51
D0045,Public WiFi,28-11-2024,L0546,Chicago,Lincoln Park,-80.389215,-130.615148,2133,66,74 dB,8.66,2206,37.7,30,Under Maintenance,10-03-2023,24,6,383,98.4,43,63,DeviceCorp,v2.0,0.15,0.0052,11.8,653.87,363.44,754,28-11-2024,08:45:55,USA,3481.35
D0046,Traffic Light,27-09-2024,L0868,New York,Manhattan,-85.850877,168.09081,1991,97,66 dB,3.52,1327,-9.8,42,Under Maintenance,24-07-2024,13,0,234,91.31,26,79,GreenTech,v2.1,0.22,0.0088,37.53,0.0,243.73,1455,27-09-2024,12:18:56,USA,1902.7
D0047,Traffic Light,18-07-2021,L0049,Houston,Downtown,-16.75669,114.391963,1454,68,63 dB,11.68,1568,4.7,65,Active,03-03-2023,5,10,234,98.43,31,3,DeviceCorp,v1.2,0.19,0.008,28.42,0.0,0.0,882,18-07-2021,06:26:28,USA,2840.31
D0048,Parking Sensor,05-09-2021,L0158,Chicago,The Loop,-18.139962,-38.422733,1205,60,62 dB,40.2,2386,17.9,89,Inactive,03-03-2023,30,9,234,99.11,47,63,GreenTech,v2.1,0.26,0.0062,54.11,0.0,0.0,1473,05-09-2021,15:13:43,USA,2960.2
D0049,Pollution Sensor,16-03-2022,L0642,Seattle,Capitol Hill,80.959727,-57.350361,1754,104,69 dB,24.76,1663,25.9,56,Under Maintenance,15-11-2024,19,4,234,98.5,26,63,GreenTech,v1.0,0.49,0.0019,16.55,0.0,372.88,1339,16-03-2022,08:03:46,USA,1331.85
D0050,Traffic Light,15-02-2021,L0299,Houston,Midtown,44.096099,87.733508,1196,70,75 dB,6.69,2787,-3.9,47,Inactive,03-03-2023,32,9,234,91.1,41,52,DeviceCorp,v1.2,0.45,0.0092,17.4,0.0,0.0,300,15-02-2021,23:47:14,USA,4863.13
D0051,Parking Sensor,27-02-2022,L0696,Los Angeles,Downtown,-85.513141,83.772454,989,77,70 dB,8.71,1843,-6.2,58,Under Maintenance,24-07-2024,21,6,234,94.07,41,63,SmartIoT,v2.1,0.42,0.0048,27.02,0.0,101.2,1910,27-02-2022,13:03:14,USA,3988.1
D0052,Parking Sensor,03-05-2023,L0435,Chicago,The Loop,74.4677,76.204038,1533,64,65 dB,14.47,1762,30.9,36,Under Maintenance,02-02-2023,18,0,234,98.65,43,63,UrbanTech,v1.2,0.26,0.0027,46.34,0.0,179.82,1459,03-05-2023,14:31:23,USA,4727.75
D0053,Parking Sensor,08-05-2021,L0075,Los Angeles,Hollywood,44.708802,-52.291184,1590,73,70 dB,36.73,2949,-8.2,36,Under Maintenance,26-03-2024,50,0,234,97.18,34,63,UrbanTech,v1.2,0.42,0.0103,16.34,0.0,121.08,1789,08-05-2021,23:02:55,USA,4526.72
D0054,Parking Sensor,24-02-2022,L0339,Chicago,The Loop,-52.971891,20.883384,1620,60,69 dB,25.42,1426,11.6,82,Under Maintenance,23-10-2024,40,6,234,99.44,30,63,GreenTech,v1.2,0.14,0.006,39.66,0.0,407.72,644,24-02-2022,10:03:58,USA,3190.55
D0055,Public WiFi,20-03-2023,L0761,Los Angeles,Downtown,17.156485,-97.26501,983,58,70 dB,14.61,1908,37.0,86,Inactive,03-03-2023,38,9,469,91.69,29,63,DeviceCorp,v1.1,0.38,0.0086,43.71,685.03,0.0,2295,20-03-2023,01:43:47,USA,4648.43
D0056,Public WiFi,19-06-2023,L0151,Miami,Brickell,19.612594,-39.219928,1288,93,72 dB,4.38,2164,39.3,82,Under Maintenance,22-12-2022,31,1,40,98.02,44,63,DeviceCorp,v1.0,0.41,0.0056,37.15,557.44,113.26,1062,19-06-2023,00:25:30,USA,898.22
D0057,Traffic Light,22-07-2021,L0427,Chicago,Lincoln Park,3.929104,94.046067,1717,80,72 dB,40.42,1159,4.5,63,Under Maintenance,27-06-2024,13,6,234,93.89,46,74,GreenTech,v1.0,0.35,0.0105,16.63,0.0,404.03,368,22-07-2021,12:10:15,USA,1381.92
D0058,Public WiFi,24-03-2024,L0944,Miami,South Beach,10.726294,-56.793025,1500,83,80 dB,30.99,2173,21.6,57,Under Maintenance,09-09-2024,25,6,472,93.26,42,63,UrbanTech,v1.1,0.31,0.0012,44.66,363.32,111.54,1020,24-03-2024,23:28:08,USA,703.52
D0059,Parking Sensor,09-07-2022,L0106,Seattle,Pioneer Square,51.43242,16.653363,1390,87,63 dB,33.69,2639,2.3,58,Under Maintenance,17-07-2024,35,0,234,97.33,40,63,DeviceCorp,v1.1,0.19,0.0034,34.32,0.0,102.44,326,09-07-2022,00:34:53,USA,1963.99
D0060,Public WiFi,03-03-2022,L0846,Chicago,Lincoln Park,63.196546,126.025644,1945,79,69 dB,41.46,1003,28.9,72,Under Maintenance,16-03-2023,35,3,339,96.5,36,63,DeviceCorp,v2.0,0.26,0.0058,15.66,1111.26,394.05,1201,03-03-2022,00:40:21,USA,2249.05
D0061,Public WiFi,27-08-2021,L0813,Chicago,Lincoln Park,-81.177834,-82.240799,1234,67,71 dB,29.65,2641,-6.4,60,Inactive,03-03-2023,16,4,96,92.56,48,63,GreenTech,v2.0,0.49,0.001,20.53,328.6,0.0,1923,27-08-2021,18:38:34,USA,1721.07
D0062,Smart Meter,03-03-2022,L0284,Chicago,The Loop,89.322565,-156.575113,2208,64,62 dB,19.14,2142,1.2,28,Active,03-03-2023,1,3,234,91.35,45,63,SmartIoT,v1.0,0.5,0.0093,31.42,0.0,0.0,827,03-03-2022,21:45:57,USA,4229.32
D0063,Pollution Sensor,08-07-2021,L0738,Chicago,Lincoln Park,4.653989,-65.443633,1081,78,60 dB,4.66,1403,-3.8,91,Under Maintenance,14-10-2023,21,1,234,94.16,44,63,UrbanTech,v2.0,0.48,0.005,17.79,0.0,456.46,2104,08-07-2021,20:18:57,USA,2105.39
D0064,Pollution Sensor,11-08-2021,L0928,Houston,Downtown,32.609171,-34.054152,1342,84,79 dB,31.52,1411,12.7,89,Active,03-03-2023,4,5,234,93.85,40,63,GreenTech,v1.2,0.3,0.0054,54.32,0.0,0.0,300,11-08-2021,15:34:46,USA,1764.21
D0065,Parking Sensor,03-02-2021,L0932,New York,Brooklyn,-61.42677,20.187026,1424,69,74 dB,37.17,2135,17.1,41,Inactive,03-03-2023,50,3,234,98.61,33,63,GreenTech,v1.2,0.17,0.0058,36.91,0.0,0.0,791,03-02-2021,16:03:58,USA,2942.13
D0066,Smart Meter,05-04-2021,L0604,San Francisco,Financial District,-36.975941,-39.666375,1719,54,78 dB,1.17,1520,-0.9,59,Inactive,03-03-2023,9,4,234,93.21,29,63,SmartIoT,v1.2,0.19,0.0094,35.74,0.0,0.0,565,05-04-2021,12:48:05,USA,1134.16
D0067,Traffic Light,07-01-2024,L0811,Seattle,Pioneer Square,-36.002105,-141.926561,1842,71,67 dB,39.3,2872,34.2,51,Under Maintenance,11-09-2023,22,0,234,93.29,31,79,GreenTech,v1.1,0.25,0.0079,48.87,0.0,143.36,1845,07-01-2024,11:52:40,USA,4109.89
D0068,Traffic Light,26-05-2023,L0844,Chicago,The Loop,7.066955,24.942228,1192,50,74 dB,10.97,1307,22.6,49,Active,03-03-2023,45,10,234,95.21,46,37,UrbanTech,v2.1,0.11,0.0085,19.33,0.0,0.0,2017,26-05-2023,05:36:36,USA,835.48
D0069,Smart Meter,11-06-2021,L0351,New York,Manhattan,49.973351,-136.571733,1585,67,63 dB,30.13,2845,39.6,54,Inactive,03-03-2023,1,6,234,99.49,32,63,UrbanTech,v1.1,0.24,0.0072,43.79,0.0,0.0,967,11-06-2021,10:29:42,USA,4940.99
D0070,Traffic Light,30-12-2021,L0885,San Francisco,Mission District,53.988694,93.575922,1377,83,68 dB,2.39,1212,7.4,74,Under Maintenance,05-02-2023,31,3,234,96.99,50,0,DeviceCorp,v2.0,0.37,0.0033,26.95,0.0,295.14,415,30-12-2021,07:42:03,USA,3975.1
D0071,Public WiFi,16-12-2023,L0793,Seattle,Capitol Hill,-55.889022,-28.443154,1575,99,67 dB,44.34,1764,6.6,63,Inactive,03-03-2023,35,7,269,95.18,35,63,DeviceCorp,v1.0,0.2,0.0099,24.07,893.1,0.0,308,16-12-2023,07:48:42,USA,1394.22
D0072,Smart Meter,05-09-2023,L0356,Houston,Downtown,-45.471264,130.827875,1074,97,63 dB,30.42,2000,2.7,64,Inactive,03-03-2023,12,4,234,98.71,41,63,UrbanTech,v2.0,0.35,0.0017,32.61,0.0,0.0,487,05-09-2023,08:57:19,USA,524.85
D0073,Public WiFi,09-04-2022,L0107,Miami,South Beach,-52.474265,83.184561,1178,75,73 dB,29.03,2281,1.7,79,Active,03-03-2023,33,5,35,90.69,25,63,DeviceCorp,v1.1,0.1,0.0045,46.17,589.99,0.0,1881,09-04-2022,19:07:57,USA,4169.58
D0074,Parking Sensor,30-05-2021,L0377,Chicago,The Loop,-58.493942,-12.18644,1564,73,76 dB,38.65,2714,13.5,78,Inactive,03-03-2023,17,3,234,91.3,31,63,DeviceCorp,v1.0,0.34,0.0097,29.88,0.0,0.0,2322,30-05-2021,14:47:13,USA,3680.86
D0075,Traffic Light,24-07-2022,L0992,New York,Manhattan,-61.573127,146.070678,1107,75,75 dB,11.11,2553,21.5,38,Inactive,03-03-2023,39,10,234,90.64,27,73,GreenTech,v1.0,0.14,0.0092,51.78,0.0,0.0,880,24-07-2022,03:31:04,USA,3780.53
D0076,Pollution Sensor,06-11-2021,L0266,Miami,South Beach,-73.816642,71.35567,915,74,70 dB,31.61,2120,20.6,24,Under Maintenance,12-06-2024,39,10,234,95.17,45,63,SmartIoT,v2.0,0.5,0.0059,48.37,0.0,402.27,1878,06-11-2021,05:19:45,USA,3970.72
D0077,Parking Sensor,02-01-2022,L0489,Chicago,The Loop,9.596039,-36.727262,936,69,80 dB,22.85,2581,6.3,64,Under Maintenance,30-05-2023,21,7,234,97.09,26,63,SmartIoT,v1.0,0.2,0.0028,38.05,0.0,219.69,399,02-01-2022,03:43:50,USA,833.2
D0078,Smart Meter,29-10-2021,L0476,Los Angeles,Downtown,-30.64239,44.82213,1945,83,71 dB,41.49,1760,-1.4,30,Under Maintenance,09-10-2023,49,2,234,90.63,47,63,UrbanTech,v2.0,0.43,0.0077,20.22,0.0,334.51,1230,29-10-2021,07:04:02,USA,2113.1
D0079,Traffic Light,14-06-2024,L0805,Miami,Brickell,76.38126,-57.854388,1882,89,68 dB,32.42,1954,8.3,24,Active,03-03-2023,22,2,234,97.6,30,100,GreenTech,v1.1,0.34,0.0104,21.35,0.0,0.0,2138,14-06-2024,16:28:56,USA,1021.41
D0080,Public WiFi,06-11-2022,L0691,Chicago,Lincoln Park,8.061874,57.134279,1079,79,70 dB,49.95,1863,20.2,49,Active,03-03-2023,41,9,305,95.3,37,63,SmartIoT,v1.0,0.21,0.0048,18.02,688.4,0.0,1553,06-11-2022,08:22:51,USA,4383.97
D0081,Traffic Light,17-04-2023,L0109,San Francisco,Mission District,6.318028,-92.49238,1566,57,63 dB,42.74,2778,24.0,67,Under Maintenance,08-10-2023,43,6,234,97.11,34,78,UrbanTech,v1.2,0.17,0.0032,32.74,0.0,317.0,1456,17-04-2023,03:09:25,USA,3304.84
D0082,Traffic Light,13-06-2021,L0510,Chicago,Lincoln Park,-17.392836,-36.429321,2222,80,80 dB,43.67,2921,27.6,22,Active,03-03-2023,31,6,234,90.72,47,2,DeviceCorp,v1.2,0.18,0.0011,27.55,0.0,0.0,737,13-06-2021,23:37:39,USA,1989.04
D0083,Public WiFi,26-07-2021,L0223,Los Angeles,Downtown,4.48172,-144.122605,1843,74,60 dB,38.41,2991,6.3,24,Active,03-03-2023,3,6,382,94.04,44,63,DeviceCorp,v2.1,0.44,0.0018,10.34,163.96,0.0,1430,26-07-2021,00:30:07,USA,786.01
D0084,Public WiFi,23-07-2022,L0525,Seattle,Capitol Hill,-51.36874,-94.747408,1406,75,72 dB,15.95,1844,16.7,41,Inactive,03-03-2023,28,3,366,99.19,30,63,UrbanTech,v1.2,0.29,0.0089,43.49,124.66,0.0,504,23-07-2022,22:35:18,USA,1899.42
D0085,Public WiFi,20-04-2021,L0345,Houston,Downtown,75.026071,103.394519,1636,74,65 dB,35.43,2352,6.9,91,Under Maintenance,06-12-2024,26,1,498,97.94,36,63,SmartIoT,v1.2,0.24,0.009,38.23,203.92,358.26,1328,20-04-2021,05:08:47,USA,1963.32
D0086,Traffic Light,21-03-2023,L0800,Chicago,Lincoln Park,24.621482,-158.79682,1113,68,66 dB,30.56,2366,-3.1,49,Inactive,03-03-2023,1,8,234,93.37,46,58,UrbanTech,v1.2,0.46,0.0058,27.4,0.0,0.0,300,21-03-2023,08:50:31,USA,3783.23
D0087,Public WiFi,02-12-2021,L0129,Miami,South Beach,-30.349474,175.031296,1558,50,60 dB,43.32,1934,3.6,22,Under Maintenance,08-04-2023,0,3,413,94.68,28,63,SmartIoT,v1.1,0.27,0.003,29.87,482.65,159.34,1201,02-12-2021,06:32:50,USA,3369.01
D0088,Traffic Light,19-02-2024,L0459,Chicago,Lincoln Park,-87.722071,-36.350147,1147,87,70 dB,47.23,1887,18.8,94,Inactive,03-03-2023,41,10,234,93.51,33,28,GreenTech,v2.1,0.22,0.0039,34.3,0.0,0.0,402,19-02-2024,02:16:25,USA,4492.46
