Device ID,Device Type,Installation Date,Location ID,City,Region,Latitude,Longitude,Traffic Volume,Air Quality Index (AQI),Noise Level,Energy Consumption (kWh),Water Usage (liters),Temperature (°C),Humidity (%),Device Status,Maintenance Date,Power Outage Hours (per month),Incident Reports,Public WiFi Users,Connectivity Uptime (%),Smart Parking Spots,Road Quality Index,Device Manufacturer,Firmware Version,Energy Rate (per kWh),Water Rate (per liter),Operating Cost (per hour),Advertising Revenue (from WiFi),Maintenance Cost,Device Usage Hours,Date,Time
D0024,Parking Sensor,2020-04-25,L0113,Seattle,Capitol Hill,-71.255165,51.817211,981,108,64 dB,8.5,4950,7,81,Active,2023-03-03,35,3,234,93.21,38,63,UrbanTech,v1.2,0.28,0.007,25.07,0,0,296,2024-03-14,02:08:20
D0025,Traffic Light,2022-11-14,L0487,Miami,South Beach,7.751853,121.429549,1870,108,76 dB,45.97,4950,22.6,34,Under Maintenance,2024-04-25,37,1,234,99.68,30,71,GreenTech,v1.2,0.41,0.0071,15.81,0,289.02,1346,2024-03-22,06:14:34
D0026,Traffic Light,2023-09-05,L0455,Chicago,Lincoln Park,77.969023,-24.184147,664,108,99 dB,31.66,4950,28.2,82,Inactive,2023-03-03,44,2,234,91.1,30,13,SmartIoT,v2.0,0.11,0.0014,37.58,0,0,1375,2024-07-17,17:19:47
D0027,Pollution Sensor,2022-08-22,L0862,Miami,Brickell,68.57557,33.935994,981,237,59 dB,13.77,4950,19.3,22,Under Maintenance,2023-08-09,21,2,234,92.08,30,63,UrbanTech,v2.1,0.12,0.0067,38.44,0,316.27,719,2024-05-18,00:13:37
D0028,Smart Meter,2024-01-25,L0699,Chicago,Lincoln Park,-72.725313,-50.042751,981,1,96 dB,15.35,7744,30.7,71,Active,2023-03-03,26,10,234,96.54,30,63,SmartIoT,v1.2,0.49,0.0031,25.64,0,0,293,2024-07-16,23:57:57
D0029,Traffic Light,2020-01-11,L0965,Miami,South Beach,-38.051843,39.960393,747,108,67 dB,49.67,4950,37.9,47,Inactive,2023-03-03,4,4,234,98.23,30,53,DeviceCorp,v1.0,0.45,0.0042,18.68,0,0,1815,2024-11-10,17:05:32
D0030,Smart Meter,2022-12-31,L0303,Chicago,The Loop,24.425613,-69.852521,981,57,90 dB,16.31,1575,23.2,90,Inactive,2023-03-03,25,2,234,97.6,30,63,DeviceCorp,v2.0,0.28,0.0066,48.79,0,0,1166,2024-06-15,09:34:46
D0031,Smart Meter,2020-09-21,L0710,Chicago,Lincoln Park,-55.616989,51.644658,981,68,89 dB,12.44,1270,14.6,26,Inactive,2023-03-03,16,7,234,97.71,30,63,SmartIoT,v1.2,0.3,0.006,38.87,0,0,848,2024-05-23,02:56:28
D0032,Pollution Sensor,2024-07-07,L0327,Miami,Brickell,8.73267,-52.374384,981,31,85 dB,11.7,4950,16.2,40,Active,2023-03-03,17,7,234,94.63,30,63,GreenTech,v1.1,0.43,0.005,46.68,0,0,1678,2024-06-22,01:18:35
D0033,Parking Sensor,2023-12-16,L0764,Houston,Downtown,-38.234277,73.945421,981,108,67 dB,38.46,4950,6.6,26,Active,2023-03-03,46,10,234,90.55,25,63,DeviceCorp,v2.0,0.4,0.0045,38.22,0,0,262,2024-02-15,18:55:15
D0034,Parking Sensor,2022-06-07,L0267,San Francisco,Financial District,-38.798672,24.696263,981,108,60 dB,37.68,4950,-7,92,Active,2023-03-03,46,4,234,97.57,43,63,SmartIoT,v2.0,0.49,0.0084,39.59,0,0,1286,2024-10-10,17:51:22
D0035,Pollution Sensor,2022-09-27,L0529,San Francisco,Mission District,-40.992002,-158.555726,981,186,75 dB,31.33,4950,34.1,88,Inactive,2023-03-03,6,8,234,91.66,30,63,DeviceCorp,v1.1,0.31,0.0015,47.93,0,0,914,2024-07-17,11:43:10
D0036,Parking Sensor,2020-07-09,L0903,New York,Manhattan,66.396352,25.878447,981,108,76 dB,5.44,4950,9.5,79,Under Maintenance,2024-08-20,22,7,234,95.54,33,63,DeviceCorp,v1.2,0.2,0.008,43.34,0,486.72,1457,2024-11-20,10:57:50
D0037,Smart Meter,2020-10-13,L0470,Houston,Midtown,-50.542149,53.437304,981,145,91 dB,7.06,7471,33.6,43,Active,2023-03-03,10,6,234,97.6,30,63,SmartIoT,v2.1,0.26,0.0038,20.79,0,0,233,2024-04-27,09:31:25
D0038,Pollution Sensor,2024-04-22,L0932,Miami,South Beach,-66.341488,-52.686478,981,162,71 dB,23.44,4950,10.3,54,Inactive,2023-03-03,3,4,234,94.22,30,63,UrbanTech,v1.1,0.45,0.0019,45.94,0,0,794,2024-07-01,01:50:32
D0039,Traffic Light,2024-05-03,L0161,Miami,South Beach,-36.666905,78.905474,688,108,90 dB,8.52,4950,30.7,43,Inactive,2023-03-03,6,0,234,94.78,30,85,UrbanTech,v1.2,0.43,0.0056,40.18,0,0,273,2024-11-29,22:56:41
D0040,Parking Sensor,2020-01-25,L0281,San Francisco,Mission District,-7.304088,40.94643,981,108,70 dB,15.32,4950,6.7,25,Inactive,2023-03-03,22,4,234,99.52,24,63,SmartIoT,v2.1,0.22,0.0013,41.05,0,0,1807,2024-01-31,23:11:30
D0041,Traffic Light,2020-11-22,L0615,San Francisco,Financial District,61.106857,-132.262591,801,108,80 dB,5.47,4950,37.6,60,Under Maintenance,2023-03-11,16,7,234,98.57,30,84,GreenTech,v1.0,0.19,0.0099,29.97,0,254.23,1435,2024-02-28,05:16:51
D0042,Pollution Sensor,2021-10-30,L0678,Chicago,Lincoln Park,-64.361281,163.237631,981,178,76 dB,41.85,4950,10,29,Under Maintenance,2023-05-25,25,3,234,98.91,30,63,UrbanTech,v1.1,0.29,0.0022,33.22,0,192.16,337,2024-02-04,08:17:59
D0043,Public WiFi,2020-04-05,L0244,Miami,Brickell,78.482559,-93.56114,981,108,86 dB,36.42,4950,37.5,61,Inactive,2023-03-03,48,0,367,93.21,30,63,UrbanTech,v1.1,0.44,0.0038,48.3,511.82,0,494,2024-12-10,09:14:32
D0044,Public WiFi,2024-05-18,L0309,New York,Brooklyn,-76.694297,-23.651896,981,108,91 dB,3.02,4950,33.7,53,Inactive,2023-03-03,10,4,150,92.88,30,63,SmartIoT,v1.1,0.22,0.003,41.71,827.7,0,108,2024-06-30,09:11:24
D0045,Public WiFi,2024-06-11,L0546,Chicago,Lincoln Park,-80.389215,-130.615148,981,108,73 dB,8.66,4950,37.7,30,Under Maintenance,2023-03-10,24,6,383,98.4,30,63,DeviceCorp,v2.0,0.14,0.0055,13.1,698.56,363.44,841,2024-03-27,08:42:35
D0046,Traffic Light,2024-03-07,L0868,New York,Manhattan,-85.850877,168.09081,271,108,69 dB,3.52,4950,-9.8,42,Under Maintenance,2024-07-24,13,0,234,91.31,30,79,GreenTech,v2.1,0.2,0.0091,40.02,0,243.73,1333,2024-02-16,11:48:18
D0047,Traffic Light,2024-01-02,L0049,Houston,Downtown,-16.75669,114.391963,370,108,76 dB,11.68,4950,4.7,65,Active,2023-03-03,5,10,234,98.43,30,3,DeviceCorp,v1.2,0.18,0.0085,27.75,0,0,875,2024-06-27,06:08:14
D0048,Parking Sensor,2021-09-29,L0158,Chicago,The Loop,-18.139962,-38.422733,981,108,91 dB,40.2,4950,17.9,89,Inactive,2023-03-03,30,9,234,99.11,30,63,GreenTech,v2.1,0.26,0.0057,49.86,0,0,1239,2024-07-13,14:51:24
D0049,Pollution Sensor,2021-07-07,L0642,Seattle,Capitol Hill,80.959727,-57.350361,981,124,74 dB,24.76,4950,25.9,56,Under Maintenance,2024-11-15,19,4,234,98.5,30,63,GreenTech,v1.0,0.46,0.002,15.18,0,372.88,1240,2024-10-14,07:51:45
D0050,Traffic Light,2021-08-16,L0299,Houston,Midtown,44.096099,87.733508,1531,108,74 dB,6.69,4950,-3.9,47,Inactive,2023-03-03,32,9,234,91.1,30,52,DeviceCorp,v1.2,0.47,0.0096,16.26,0,0,238,2024-10-20,23:37:39
D0051,Parking Sensor,2020-02-07,L0696,Los Angeles,Downtown,-85.513141,83.772454,981,108,76 dB,8.71,4950,-6.2,58,Under Maintenance,2024-07-24,21,6,234,94.07,24,63,SmartIoT,v2.1,0.43,0.0051,29.66,0,101.2,1896,2024-01-23,12:52:38
D0052,Parking Sensor,2022-10-01,L0435,Chicago,The Loop,74.4677,76.204038,981,108,58 dB,14.47,4950,30.9,36,Under Maintenance,2023-02-02,18,0,234,98.65,36,63,UrbanTech,v1.2,0.27,0.0025,47.78,0,179.82,1362,2024-04-08,13:38:57
D0053,Parking Sensor,2023-08-30,L0075,Los Angeles,Hollywood,44.708802,-52.291184,981,108,83 dB,36.73,4950,-8.2,36,Under Maintenance,2024-03-26,50,0,234,97.18,10,63,UrbanTech,v1.2,0.43,0.0097,16.25,0,121.08,1559,2024-01-12,22:27:52
D0054,Parking Sensor,2023-02-06,L0339,Chicago,The Loop,-52.971891,20.883384,981,108,93 dB,25.42,4950,11.6,82,Under Maintenance,2024-10-23,40,6,234,99.44,49,63,GreenTech,v1.2,0.15,0.0066,43.37,0,407.72,573,2024-01-05,10:02:47
D0055,Public WiFi,2020-01-21,L0761,Los Angeles,Downtown,17.156485,-97.26501,981,108,69 dB,14.61,4950,37,86,Inactive,2023-03-03,38,9,469,91.69,30,63,DeviceCorp,v1.1,0.35,0.0089,42.44,537.3,0,1975,2024-08-23,01:25:35
D0056,Public WiFi,2024-02-13,L0151,Miami,Brickell,19.612594,-39.219928,981,108,56 dB,4.38,4950,39.3,82,Under Maintenance,2022-12-22,31,1,40,98.02,30,63,DeviceCorp,v1.0,0.41,0.006,36.57,588.57,113.26,1156,2024-08-02,00:24:25
D0057,Traffic Light,2023-02-26,L0427,Chicago,Lincoln Park,3.929104,94.046067,1368,108,84 dB,40.42,4950,4.5,63,Under Maintenance,2024-06-27,13,6,234,93.89,30,74,GreenTech,v1.0,0.36,0.01,16.85,0,404.03,336,2024-08-22,11:57:58
D0058,Public WiFi,2021-08-14,L0944,Miami,South Beach,10.726294,-56.793025,981,108,63 dB,30.99,4950,21.6,57,Under Maintenance,2024-09-09,25,6,472,93.26,30,63,UrbanTech,v1.1,0.3,0.0012,41.13,288.48,111.54,889,2024-10-26,22:51:45
D0059,Parking Sensor,2022-02-21,L0106,Seattle,Pioneer Square,51.43242,16.653363,981,108,80 dB,33.69,4950,2.3,58,Under Maintenance,2024-07-17,35,0,234,97.33,7,63,DeviceCorp,v1.1,0.2,0.0031,32.31,0,102.44,286,2024-02-16,00:18:10
D0060,Public WiFi,2022-12-15,L0846,Chicago,Lincoln Park,63.196546,126.025644,981,108,81 dB,41.46,4950,28.9,72,Under Maintenance,2023-03-16,35,3,339,96.5,30,63,DeviceCorp,v2.0,0.26,0.0062,15.11,924.51,394.05,1114,2024-05-25,23:52:46
D0061,Public WiFi,2022-07-22,L0813,Chicago,Lincoln Park,-81.177834,-82.240799,981,108,100 dB,29.65,4950,-6.4,60,Inactive,2023-03-03,16,4,96,92.56,30,63,GreenTech,v2.0,0.46,0.001,19.55,328.27,0,1974,2024-11-13,18:10:48
D0062,Smart Meter,2020-11-17,L0284,Chicago,The Loop,89.322565,-156.575113,981,50,99 dB,19.14,2276,1.2,28,Active,2023-03-03,1,3,234,91.35,30,63,SmartIoT,v1.0,0.49,0.0089,29.31,0,0,814,2024-06-22,20:57:42
D0063,Pollution Sensor,2022-02-14,L0738,Chicago,Lincoln Park,4.653989,-65.443633,981,249,68 dB,4.66,4950,-3.8,91,Under Maintenance,2023-10-14,21,1,234,94.16,30,63,UrbanTech,v2.0,0.45,0.0052,17.91,0,456.46,1872,2024-06-17,19:25:49
D0064,Pollution Sensor,2023-10-28,L0928,Houston,Downtown,32.609171,-34.054152,981,272,51 dB,31.52,4950,12.7,89,Active,2023-03-03,4,5,234,93.85,30,63,GreenTech,v1.2,0.3,0.0053,49.58,0,0,228,2024-01-02,15:06:34
D0065,Parking Sensor,2022-12-25,L0932,New York,Brooklyn,-61.42677,20.187026,981,108,54 dB,37.17,4950,17.1,41,Inactive,2023-03-03,50,3,234,98.61,7,63,GreenTech,v1.2,0.16,0.0053,39.64,0,0,677,2024-04-06,15:40:06
D0066,Smart Meter,2023-05-20,L0604,San Francisco,Financial District,-36.975941,-39.666375,981,271,88 dB,1.17,1671,-0.9,59,Inactive,2023-03-03,9,4,234,93.21,30,63,SmartIoT,v1.2,0.17,0.0092,38.18,0,0,620,2024-01-31,12:42:30
D0067,Traffic Light,2020-03-04,L0811,Seattle,Pioneer Square,-36.002105,-141.926561,863,108,93 dB,39.3,4950,34.2,51,Under Maintenance,2023-09-11,22,0,234,93.29,30,79,GreenTech,v1.1,0.25,0.0082,46.26,0,143.36,1672,2024-10-27,11:38:50
D0068,Traffic Light,2023-10-24,L0844,Chicago,The Loop,7.066955,24.942228,961,108,79 dB,10.97,4950,22.6,49,Active,2023-03-03,45,10,234,95.21,30,37,UrbanTech,v2.1,0.11,0.0093,21.07,0,0,1880,2024-04-18,04:56:10
D0069,Smart Meter,2023-01-18,L0351,New York,Manhattan,49.973351,-136.571733,981,43,66 dB,30.13,3680,39.6,54,Inactive,2023-03-03,1,6,234,99.49,30,63,UrbanTech,v1.1,0.23,0.0067,47.11,0,0,914,2024-01-23,10:16:51
D0070,Traffic Light,2020-07-27,L0885,San Francisco,Mission District,53.988694,93.575922,1658,108,66 dB,2.39,4950,7.4,74,Under Maintenance,2023-02-05,31,3,234,96.99,30,0,DeviceCorp,v2.0,0.37,0.0031,26.17,0,295.14,362,2024-05-30,07:24:19
D0071,Public WiFi,2022-05-17,L0793,Seattle,Capitol Hill,-55.889022,-28.443154,981,108,65 dB,44.34,4950,6.6,63,Inactive,2023-03-03,35,7,269,95.18,30,63,DeviceCorp,v1.0,0.2,0.0099,25.2,863.33,0,283,2024-06-01,07:32:10
D0072,Smart Meter,2024-06-19,L0356,Houston,Downtown,-45.471264,130.827875,981,100,97 dB,30.42,1724,2.7,64,Inactive,2023-03-03,12,4,234,98.71,30,63,UrbanTech,v2.0,0.32,0.0017,35.62,0,0,434,2024-06-17,08:10:11
D0073,Public WiFi,2023-10-15,L0107,Miami,South Beach,-52.474265,83.184561,981,108,55 dB,29.03,4950,1.7,79,Active,2023-03-03,33,5,35,90.69,30,63,DeviceCorp,v1.1,0.1,0.0044,44.26,561.68,0,1952,2024-11-26,18:26:55
D0074,Parking Sensor,2020-07-16,L0377,Chicago,The Loop,-58.493942,-12.18644,981,108,77 dB,38.65,4950,13.5,78,Inactive,2023-03-03,17,3,234,91.3,24,63,DeviceCorp,v1.0,0.33,0.0094,31.46,0,0,1973,2024-04-20,13:52:44
D0075,Traffic Light,2021-03-17,L0992,New York,Manhattan,-61.573127,146.070678,236,108,89 dB,11.11,4950,21.5,38,Inactive,2023-03-03,39,10,234,90.64,30,73,GreenTech,v1.0,0.13,0.0097,49.52,0,0,875,2024-09-30,03:10:15
D0076,Pollution Sensor,2021-09-15,L0266,Miami,South Beach,-73.816642,71.35567,981,283,85 dB,31.61,4950,20.6,24,Under Maintenance,2024-06-12,39,10,234,95.17,30,63,SmartIoT,v2.0,0.49,0.0064,48.61,0,402.27,1690,2024-01-11,05:19:11
D0077,Parking Sensor,2020-04-18,L0489,Chicago,The Loop,9.596039,-36.727262,981,108,83 dB,22.85,4950,6.3,64,Under Maintenance,2023-05-30,21,7,234,97.09,26,63,SmartIoT,v1.0,0.19,0.003,37.21,0,219.69,351,2024-02-11,03:38:57
D0078,Smart Meter,2021-11-19,L0476,Los Angeles,Downtown,-30.64239,44.82213,981,234,81 dB,41.49,5898,-1.4,30,Under Maintenance,2023-10-09,49,2,234,90.63,30,63,UrbanTech,v2.0,0.41,0.0076,19.19,0,334.51,1343,2024-01-23,06:33:56
D0079,Traffic Light,2024-11-26,L0805,Miami,Brickell,76.38126,-57.854388,1200,108,90 dB,32.42,4950,8.3,24,Active,2023-03-03,22,2,234,97.6,30,100,GreenTech,v1.1,0.32,0.0095,19.43,0,0,1934,2024-04-29,16:02:33
D0080,Public WiFi,2022-10-04,L0691,Chicago,Lincoln Park,8.061874,57.134279,981,108,92 dB,49.95,4950,20.2,49,Active,2023-03-03,41,9,305,95.3,30,63,SmartIoT,v1.0,0.2,0.0052,19.44,580.96,0,1606,2024-02-20,08:04:13
D0081,Traffic Light,2020-01-27,L0109,San Francisco,Mission District,6.318028,-92.49238,131,108,60 dB,42.74,4950,24,67,Under Maintenance,2023-10-08,43,6,234,97.11,30,78,UrbanTech,v1.2,0.16,0.0035,35.15,0,317,1603,2024-04-21,02:55:29
D0082,Traffic Light,2021-03-01,L0510,Chicago,Lincoln Park,-17.392836,-36.429321,1673,108,56 dB,43.67,4950,27.6,22,Active,2023-03-03,31,6,234,90.72,30,2,DeviceCorp,v1.2,0.17,0.0011,27.64,0,0,783,2024-12-01,23:28:18
D0083,Public WiFi,2023-05-18,L0223,Los Angeles,Downtown,4.48172,-144.122605,981,108,79 dB,38.41,4950,6.3,24,Active,2023-03-03,3,6,382,94.04,30,63,DeviceCorp,v2.1,0.4,0.0017,10.35,154.27,0,1519,2024-02-15,23:38:34
D0084,Public WiFi,2023-10-04,L0525,Seattle,Capitol Hill,-51.36874,-94.747408,981,108,68 dB,15.95,4950,16.7,41,Inactive,2023-03-03,28,3,366,99.19,30,63,UrbanTech,v1.2,0.3,0.0082,44.55,105.34,0,586,2024-05-28,21:54:55
D0085,Public WiFi,2022-07-31,L0345,Houston,Downtown,75.026071,103.394519,981,108,81 dB,35.43,4950,6.9,91,Under Maintenance,2024-12-06,26,1,498,97.94,30,63,SmartIoT,v1.2,0.24,0.0095,35.46,221.87,358.26,1312,2024-10-17,04:13:06
D0086,Traffic Light,2023-06-16,L0800,Chicago,Lincoln Park,24.621482,-158.79682,658,108,100 dB,30.56,4950,-3.1,49,Inactive,2023-03-03,1,8,234,93.37,30,58,UrbanTech,v1.2,0.46,0.006,26.06,0,0,227,2024-07-12,08:17:36
D0087,Public WiFi,2021-06-23,L0129,Miami,South Beach,-30.349474,175.031296,981,108,89 dB,43.32,4950,3.6,22,Under Maintenance,2023-04-08,0,3,413,94.68,30,63,SmartIoT,v1.1,0.25,0.0029,32.88,464.87,159.34,1196,2024-08-04,06:15:45
D0088,Traffic Light,2020-01-24,L0459,Chicago,Lincoln Park,-87.722071,-36.350147,1207,108,69 dB,47.23,4950,18.8,94,Inactive,2023-03-03,41,10,234,93.51,30,28,GreenTech,v2.1,0.2,0.0036,36.6,0,0,345,2024-07-01,02:05:35
D0089,Smart Meter,2020-09-24,L0268,San Francisco,Mission District,81.604366,-90.980641,981,175,82 dB,47.59,1175,39.6,75,Active,2023-03-03,17,3,234,94.23,30,63,UrbanTech,v2.1,0.12,0.0044,43.22,0,0,907,2024-08-20,11:16:21
D0090,Traffic Light,2023-02-06,L0310,Chicago,Lincoln Park,-20.354852,156.693395,634,108,74 dB,18.75,4950,-8.9,23,Active,2023-03-03,28,4,234,90.94,30,11,DeviceCorp,v1.1,0.42,0.0068,46.98,0,0,126,2024-01-18,18:15:23
D0091,Public WiFi,2024-05-24,L0637,Miami,Brickell,-42.552502,-131.145255,981,108,58 dB,18.15,4950,35.7,31,Under Maintenance,2023-03-30,27,4,114,96.81,30,63,SmartIoT,v2.0,0.37,0.0022,33.63,715.69,362.36,494,2024-06-26,02:23:23
D0092,Pollution Sensor,2021-02-11,L0595,Houston,Midtown,57.52162,64.720869,981,273,96 dB,4.01,4950,9.1,94,Inactive,2023-03-03,21,5,234,99.53,30,63,GreenTech,v2.0,0.29,0.0096,25.71,0,0,548,2024-10-27,16:43:47
D0093,Traffic Light,2022-03-14,L0879,New York,Manhattan,85.98347,48.823879,1754,108,95 dB,47.33,4950,0.4,97,Inactive,2023-03-03,11,5,234,95.7,30,60,DeviceCorp,v2.0,0.42,0.0011,49.72,0,0,1895,2024-05-18,18:29:17
D0094,Public WiFi,2020-03-07,L0447,Chicago,The Loop,3.387724,109.307945,981,108,96 dB,49.94,4950,0.5,42,Under Maintenance,2024-02-26,25,3,153,95.93,30,63,GreenTech,v2.0,0.27,0.0062,17.94,953.98,124.85,470,2024-07-05,05:04:48
D0095,Public WiFi,2022-07-23,L0005,Chicago,Lincoln Park,20.68935,22.800813,981,108,75 dB,23.72,4950,23.4,91,Inactive,2023-03-03,6,4,322,90.9,30,63,SmartIoT,v1.0,0.28,0.0053,18.89,557.76,0,314,2024-07-23,03:09:49
D0096,Pollution Sensor,2020-09-04,L0363,Los Angeles,Hollywood,-52.591187,-101.865343,981,12,58 dB,1.91,4950,-0.6,79,Active,2023-03-03,5,10,234,93.92,30,63,GreenTech,v2.0,0.25,0.005,40.17,0,0,1427,2024-04-25,02:35:17
